[2026-06-13 17:43:13] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:14] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:14] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:15] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:15] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:16] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:16] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:17] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:17] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:18] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:18] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:19] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:20] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:20] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:21] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:21] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:22] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:22] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:23] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:23] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:24] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:24] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:25] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:25] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:26] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:26] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:27] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:27] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:28] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:28] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:29] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:29] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
[2026-06-13 17:43:30] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-4bdhw
[2026-06-13 17:43:30] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:31] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:31] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:32] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-v6lnt
[2026-06-13 17:43:32] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-jt7tc
[2026-06-13 17:43:34] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-vj8t9
[2026-06-13 17:43:35] COLOR: blue, HOSTNAME: color-api-deployment-7dd66bdc46-52zzx
