NAME                                    READY   STATUS    RESTARTS      AGE     IP             NODE       NOMINATED NODE   READINESS GATES
color-backend                           1/1     Running   0             4s      10.244.0.193   minikube   <none>           <none>
color-frontend                          1/1     Running   0             3s      10.244.0.194   minikube   <none>           <none>
demo-statefulset-0                      1/1     Running   6 (31m ago)   3d6h    10.244.0.159   minikube   <none>           <none>
demo-statefulset-1                      1/1     Running   6 (31m ago)   3d6h    10.244.0.158   minikube   <none>           <none>
demo-statefulset-2                      1/1     Running   6 (31m ago)   3d6h    10.244.0.161   minikube   <none>           <none>
empty-dir-demo                          1/1     Running   4 (52m ago)   3d5h    10.244.0.160   minikube   <none>           <none>
movie-api-deployment-6f6cccf475-2f62s   1/1     Running   0             3h54m   10.244.0.172   minikube   <none>           <none>
movie-api-deployment-6f6cccf475-dvmhs   1/1     Running   0             3h54m   10.244.0.173   minikube   <none>           <none>
movie-api-deployment-6f6cccf475-rl7mb   1/1     Running   0             3h54m   10.244.0.175   minikube   <none>           <none>
movie-api-deployment-6f6cccf475-rwzhq   1/1     Running   0             3h54m   10.244.0.176   minikube   <none>           <none>
movie-api-deployment-6f6cccf475-tlvl9   1/1     Running   0             3h54m   10.244.0.174   minikube   <none>           <none>
